,theta,phi,flux
0,313.379,100.66,10002.386091219574
1,102.265,101.012,0.0
2,261.522,104.121,9654.41804597189
3,193.4,104.382,9815.145170844902
4,44.125,104.689,9924.609604308418
5,138.53,107.187,9698.067607225035
6,232.315,107.417,9460.895629850247
7,71.611,112.366,9290.536376588461
8,348.081,117.214,8807.074519531918
9,283.861,120.477,8322.678891824042
10,172.877,124.621,8118.3032667319785
11,25.816,127.187,7929.5181109930145
12,102.702,129.281,7688.571266402352
13,318.558,129.569,7543.711722880656
14,15.614,13.148,11139.8930653151
15,214.935,131.547,7344.791823567316
16,140.486,137.657,6841.940897899215
17,257.642,139.635,6466.376793100351
18,65.618,142.773,6311.71249134593
19,2.351,150.166,5543.144516161898
20,194.88,156.586,4874.063331986007
21,297.777,159.758,4557.322302954415
22,101.338,166.764,4097.370251671626
23,203.096,21.357,11243.747473959498
24,106.988,23.919,11378.600920215798
25,270.526,27.996,11293.9600211796
26,333.034,35.808,11581.593171288469
27,163.742,40.999,11744.62711805418
28,60.004,43.107,11844.71502510952
29,21.216,47.148,11880.72271677243
30,239.689,51.27,11668.5317436613
31,114.304,51.605,11912.160872491742
32,205.074,54.951,11770.73425182475
33,284.811,55.414,11641.332189310691
34,317.331,60.836,11700.59298329354
35,145.564,64.454,11790.499804869702
36,356.134,65.252,11749.483731893939
37,87.843,66.783,11779.448519403551
38,57.308,71.038,11671.331654317664
39,181.227,72.31,11522.224280506398
40,243.722,78.15,11115.26578989255
41,28.559,79.071,11383.556381593457
42,292.381,83.305,10905.109102147819
43,122.8,84.527,11121.138203222585
44,213.55,85.583,10893.2350402216
45,337.115,85.635,10969.433386328381
46,270.0,90.0,10544.17966616133
47,90.0,90.0,10860.949396274998
48,162.16,92.254,10686.214004142035
49,8.286,97.584,10387.383666261998
